<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.09.16	131.21	131.57	128.04	129.49	199	484	1
2020.09.17	128.66	128.66	125.54	127.52	233	465	1
2020.09.18	127.10	127.41	122.73	124.24	257	437	1
2020.09.21	120.76	123.36	120.24	123.25	358	478	1
2020.09.22	123.77	123.77	120.34	120.86	206	313	1
2020.09.23	120.19	123.98	118.63	121.80	273	399	1
2020.09.24	122.58	122.73	120.39	122.42	129	202	1
2020.09.25	122.84	126.37	121.69	126.17	333	383	1
2020.09.28	125.33	126.11	118.78	119.98	385	535	1
2020.09.29	119.20	121.17	119.20	121.17	119	173	1
2020.09.30	122.32	122.84	120.91	121.69	230	292	1
2020.10.01	121.23	121.23	116.49	117.32	402	565	1
2020.10.02	117.01	120.13	115.14	118.57	283	572	1
2020.10.05	117.53	118.99	116.54	118.52	117	190	1
2020.10.06	119.61	120.65	118.21	118.37	131	150	1
2020.10.07	118.05	121.69	117.53	120.97	456	516	1
2020.10.08	121.69	122.73	119.87	121.85	171	205	1
2020.10.09	123.05	125.02	121.17	122.63	243	294	1
2020.10.13	120.13	123.88	120.13	121.38	488	758	1
2020.10.14	121.69	124.29	121.49	121.90	124	137	1
2020.10.15	121.17	122.16	117.53	120.91	360	395	1
2020.10.16	122.32	122.32	118.63	118.78	145	192	1
2020.10.19	119.09	119.61	117.69	119.04	148	419	1
2020.10.20	117.17	118.37	115.19	116.49	185	406	1
2020.10.21	116.70	120.13	115.97	116.86	197	307	1
2020.10.22	116.49	119.25	116.23	118.47	156	187	1
2020.10.23	118.57	118.57	117.53	118.05	53	124	1
2020.10.26	119.61	120.13	118.57	119.09	106	395	1
2020.10.27	120.13	121.59	119.30	120.97	161	436	1
2020.10.28	118.83	119.61	117.64	118.57	131	202	1
2020.10.29	117.74	120.19	116.75	120.19	101	169	1
2020.10.30	118.89	118.89	117.69	117.95	91	140	1
2020.11.03	117.85	118.78	117.27	117.64	137	537	1
2020.11.04	117.32	117.53	115.92	116.49	131	172	1
2020.11.05	117.22	119.98	117.22	119.72	150	208	1
