<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.03.01	163.95	163.95	162.65	162.94	102	410	1
2018.03.02	162.77	163.44	162.77	163.33	42	129	1
2018.03.05	162.60	162.88	161.53	161.64	247	1401	1
2018.03.06	161.36	162.26	160.40	162.15	98	497	1
2018.03.07	161.47	162.43	161.47	162.09	115	743	1
2018.03.08	162.43	162.77	161.81	161.98	132	643	1
2018.03.09	162.20	162.60	161.92	162.15	67	282	1
2018.03.12	161.81	162.43	161.53	161.98	36	171	1
2018.03.13	162.32	162.77	161.53	162.03	80	438	1
2018.03.14	161.75	162.26	161.25	161.64	199	1103	1
2018.03.15	161.47	162.09	161.02	161.87	183	960	1
2018.03.16	161.53	162.09	161.53	161.87	70	362	1
2018.03.19	161.75	162.26	161.41	161.58	60	471	1
2018.03.20	161.75	161.92	160.63	160.63	264	1926	1
2018.03.21	160.40	161.19	159.61	159.72	348	2507	1
2018.03.22	159.56	160.29	159.16	159.39	191	1128	1
2018.03.23	159.16	159.95	158.65	159.39	193	977	1
2018.03.26	159.16	160.51	159.16	159.72	105	418	1
2018.03.27	160.06	160.96	160.06	160.63	208	1243	1
2018.03.28	161.08	161.08	160.51	160.57	99	552	1
2018.03.29	160.40	161.19	160.29	160.85	159	949	1
2018.04.02	161.47	162.15	161.08	161.19	81	490	1
2018.04.03	161.19	161.98	161.19	161.53	266	771	1
2018.04.04	161.75	162.54	161.64	162.32	268	1383	1
2018.04.05	162.65	163.16	161.92	162.20	173	1411	1
2018.04.06	162.26	162.32	161.70	162.20	103	427	1
2018.04.09	162.65	162.65	161.98	162.32	135	613	1
2018.04.10	161.98	162.26	161.53	161.70	180	882	1
2018.04.11	161.64	162.32	161.41	161.64	119	700	1
2018.04.12	161.30	161.75	160.96	161.30	153	793	1
2018.04.13	161.25	161.87	161.02	161.64	155	619	1
2018.04.16	161.08	161.53	160.96	160.96	134	981	1
2018.04.17	161.47	161.64	161.19	161.41	217	1734	1
2018.04.18	161.30	161.41	160.51	160.74	261	1617	1
2018.04.19	160.74	160.74	159.84	160.06	343	1835	1
2018.04.20	159.89	160.40	159.89	160.12	81	588	1
2018.04.23	160.17	160.40	159.84	159.95	97	895	1
2018.04.24	159.89	160.23	159.33	159.39	179	918	1
2018.04.25	158.71	159.33	158.65	159.16	256	1577	1
2018.04.26	159.50	160.01	158.48	159.44	217	1252	1
2018.04.27	158.99	159.39	158.94	159.39	88	360	1
2018.04.30	159.39	159.72	159.16	159.16	100	378	1
2018.05.02	159.50	159.50	158.48	158.60	322	2246	1
2018.05.03	158.82	159.72	158.65	159.50	203	1284	1
2018.05.04	159.56	160.06	159.16	159.84	310	2366	1
2018.05.07	160.06	160.40	159.44	159.84	198	1187	1
2018.05.08	159.56	159.67	159.05	159.39	224	1319	1
2018.05.09	159.10	159.22	158.54	158.94	266	1953	1
2018.05.10	158.03	158.77	157.64	158.09	459	3184	1
2018.05.11	158.32	158.71	157.64	158.48	115	513	1
2018.05.14	157.53	158.15	157.36	157.92	150	856	1
2018.05.15	157.86	158.03	157.36	157.81	92	342	1
2018.05.16	157.53	157.86	157.02	157.47	228	1325	1
2018.05.17	157.75	158.03	157.41	157.58	111	642	1
2018.05.18	157.70	158.94	157.70	158.43	218	1387	1
2018.05.21	158.94	159.16	158.65	158.82	67	293	1
2018.05.22	158.94	159.50	158.48	158.65	130	863	1
2018.05.23	158.54	158.71	158.15	158.15	78	274	1
2018.05.24	157.92	158.37	157.81	157.98	79	300	1
2018.05.25	158.03	158.37	158.03	158.15	38	167	1
2018.05.28	158.94	159.27	158.94	159.05	28	245	1
2018.05.29	159.50	160.06	159.50	159.84	192	588	1
2018.05.30	169.88	170.04	167.46	168.14	512	791	1
2018.06.01	168.02	168.59	167.52	168.53	69	220	1
2018.06.04	168.47	168.98	167.80	168.14	203	870	1
2018.06.05	167.80	169.31	167.35	169.31	199	458	1
2018.06.06	168.87	169.71	168.75	169.15	109	447	1
2018.06.07	169.15	170.44	168.75	168.75	190	1215	1
2018.06.08	168.75	169.26	168.31	168.70	116	343	1
2018.06.11	169.26	169.26	168.36	168.53	59	135	1
2018.06.12	168.81	169.71	168.81	169.37	127	474	1
2018.06.13	169.31	169.31	167.52	167.52	149	1152	1
2018.06.14	167.80	167.97	167.46	167.58	81	262	1
2018.06.15	168.02	168.31	167.91	168.19	54	293	1
2018.06.18	168.31	168.47	167.86	168.47	24	124	1
2018.06.19	168.47	168.87	168.25	168.87	79	345	1
2018.06.20	168.25	169.26	168.08	168.36	137	367	1
2018.06.21	168.25	168.36	167.80	168.25	96	233	1
2018.06.22	168.42	168.47	168.02	168.25	45	206	1
2018.06.25	168.36	169.26	168.36	168.81	49	169	1
2018.06.26	168.25	169.71	168.25	168.87	116	228	1
2018.06.27	168.81	168.92	168.36	168.70	57	147	1
2018.06.28	168.81	168.92	168.59	168.87	39	189	1
2018.06.29	169.09	169.15	168.70	168.81	20	68	1
2018.07.02	168.64	169.31	168.64	168.81	55	220	1
2018.07.03	168.92	169.60	168.59	168.70	45	209	1
2018.07.04	168.59	169.54	168.36	169.37	117	365	1
2018.07.05	169.26	169.60	168.70	168.81	92	550	1
2018.07.06	169.03	169.15	168.47	168.47	42	200	1
2018.07.10	168.36	168.36	166.57	167.24	155	495	1
2018.07.11	167.24	168.42	166.85	167.30	141	317	1
2018.07.12	167.46	167.46	165.73	165.78	210	938	1
2018.07.13	165.50	165.50	164.77	165.11	182	846	1
2018.07.16	165.05	166.29	165.05	166.01	105	385	1
2018.07.17	166.51	166.57	165.84	166.40	59	129	1
2018.07.18	166.57	166.79	165.89	166.34	160	338	1
2018.07.19	166.57	166.79	166.29	166.45	52	251	1
2018.07.20	166.29	166.68	165.89	166.57	40	211	1
2018.07.23	166.62	167.46	166.51	167.35	127	398	1
2018.07.24	167.18	168.81	167.18	168.59	255	1091	1
2018.07.25	168.70	169.15	168.19	168.36	186	722	1
2018.07.26	168.53	169.15	168.14	169.09	159	549	1
2018.07.27	168.98	169.43	168.87	168.87	146	642	1
2018.07.30	168.81	169.37	168.81	169.26	127	587	1
2018.07.31	169.03	169.09	167.80	168.08	168	530	1
2018.08.01	168.02	168.98	167.46	168.25	113	486	1
2018.08.02	168.81	168.81	166.74	166.96	193	698	1
2018.08.03	167.24	167.91	166.79	167.30	131	344	1
2018.08.06	167.46	167.52	166.96	167.02	119	460	1
2018.08.07	167.02	168.70	166.74	168.25	207	638	1
2018.08.08	168.59	169.03	168.08	168.36	97	396	1
2018.08.09	168.42	168.81	167.91	168.19	102	293	1
2018.08.10	167.80	168.25	167.52	168.25	46	172	1
2018.08.13	168.47	168.47	167.69	167.69	83	370	1
2018.08.14	167.18	168.02	167.18	167.80	113	357	1
2018.08.15	168.08	168.08	167.13	167.69	147	237	1
2018.08.16	167.52	167.69	166.90	167.41	136	611	1
2018.08.17	167.63	167.63	166.17	167.24	194	1466	1
2018.08.20	167.13	167.80	167.13	167.35	83	381	1
2018.08.21	167.58	168.14	167.35	167.69	123	338	1
2018.08.22	167.74	167.74	167.41	167.52	83	673	1
2018.08.23	167.74	169.09	167.69	168.59	171	971	1
2018.08.24	168.47	168.81	168.14	168.53	182	785	1
2018.08.27	168.81	169.65	168.81	169.37	183	768	1
2018.08.28	169.71	170.21	169.43	170.16	189	749	1
2018.08.29	170.38	170.83	169.60	169.71	248	1327	1
2018.08.30	170.10	171.05	169.37	170.49	235	644	1
2018.08.31	170.49	171.50	170.27	171.17	289	1195	1
2018.09.03	171.56	171.73	170.72	171.39	115	437	1
2018.09.04	171.50	171.73	170.83	170.83	144	657	1
2018.09.05	171.50	171.61	170.27	170.55	198	1028	1
2018.09.06	170.49	171.61	170.49	171.45	149	647	1
2018.09.10	171.61	171.61	171.05	171.11	55	530	1
2018.09.11	171.39	171.39	170.38	171.05	109	673	1
2018.09.12	171.05	171.73	170.66	171.50	216	1300	1
2018.09.13	171.00	172.18	171.00	172.01	168	516	1
2018.09.14	172.06	172.06	170.94	171.33	253	1039	1
2018.09.17	170.89	171.61	170.66	170.94	131	488	1
2018.09.18	170.83	171.61	170.83	171.28	119	556	1
2018.09.19	171.17	171.67	169.71	170.04	334	1714	1
2018.09.20	170.49	170.49	168.81	169.60	381	1488	1
2018.09.21	169.54	170.49	169.54	170.16	168	500	1
2018.09.24	170.66	171.50	169.71	170.49	174	792	1
2018.09.25	170.66	170.66	169.76	169.82	70	260	1
2018.09.26	169.15	170.10	167.91	168.14	363	2109	1
2018.09.27	168.47	168.59	167.24	168.08	303	1316	1
2018.09.28	168.25	169.03	167.86	168.98	250	1239	1
2018.10.01	169.26	169.26	168.08	168.36	125	809	1
2018.10.02	168.75	168.98	167.91	168.25	109	760	1
2018.10.03	168.14	168.14	166.45	167.52	213	1069	1
2018.10.04	167.13	167.13	166.29	166.90	118	783	1
2018.10.05	166.79	167.30	166.57	166.90	115	862	1
2018.10.08	166.96	167.07	166.40	166.45	106	536	1
2018.10.09	166.29	166.74	165.67	166.01	150	655	1
2018.10.10	166.12	166.29	165.50	165.73	222	1153	1
2018.10.11	165.33	165.73	165.16	165.45	153	1033	1
2018.10.15	165.16	165.50	164.49	164.88	243	2429	1
2018.10.16	165.05	165.67	165.00	165.11	150	1038	1
2018.10.17	165.11	165.67	165.11	165.11	137	1029	1
2018.10.18	165.11	165.11	164.44	164.60	144	908	1
2018.10.19	164.44	165.89	163.87	164.04	216	1261	1
2018.10.22	163.93	164.77	163.87	164.44	193	630	1
2018.10.23	165.05	165.11	164.60	164.88	45	175	1
2018.10.24	164.27	164.88	164.16	164.88	73	245	1
2018.10.25	165.28	165.28	164.60	164.83	87	155	1
2018.10.26	164.94	164.94	164.38	164.55	91	264	1
2018.10.29	164.66	165.33	164.38	165.16	76	688	1
2018.10.30	164.94	166.17	164.94	166.06	128	555	1
2018.10.31	165.78	166.06	165.16	165.16	187	1197	1
2018.11.01	164.72	165.00	164.44	164.49	88	261	1
2018.11.05	163.93	164.60	163.93	164.38	73	444	1
2018.11.06	164.38	164.72	163.26	163.26	119	856	1
2018.11.07	163.32	163.43	163.04	163.09	151	1640	1
2018.11.08	163.21	163.60	163.21	163.26	27	61	1
2018.11.09	163.15	164.21	162.70	163.60	73	385	1
2018.11.12	163.60	164.10	163.60	164.10	43	142	1
2018.11.13	163.49	164.83	163.49	164.66	174	1197	1
2018.11.14	165.28	165.28	163.43	163.43	84	398	1
2018.11.16	163.71	164.21	163.71	164.21	14	58	1
2018.11.19	164.55	164.83	164.16	164.32	18	63	1
